City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Pano Polemidia,40,CY,1582528426,87,34.7,33.0,55.0,5.82
Louangphabang,0,LA,1582528427,37,19.89,102.13,84.2,2.24
Bakal,97,RU,1582528428,84,54.94,58.81,21.6,5.53
Salalah,6,OM,1582528430,61,17.02,54.09,78.8,4.7
Marsh Harbour,0,BS,1582528431,59,26.54,-77.06,68.13,15.03
Kahului,40,US,1582528433,69,20.89,-156.47,75.2,9.17
Krasnosel'kup,100,RU,1582528434,90,65.7,82.47,25.68,21.9
Brae,20,GB,1582528436,74,60.4,-1.35,35.6,5.82
Meulaboh,61,ID,1582528437,70,4.14,96.13,82.81,6.49
Kodinsk,71,RU,1582528439,88,58.69,99.18,22.24,6.4
Norman Wells,75,CA,1582528440,84,65.28,-126.83,1.4,6.93
Vuktyl,100,RU,1582528441,90,63.86,57.31,25.61,16.6
Bathsheba,75,BB,1582528443,83,13.22,-59.52,78.8,14.99
Murgab,0,TM,1582528444,62,37.5,61.97,55.4,4.7
Saurimo,100,AO,1582528446,92,-9.66,20.39,67.71,6.51
Mendi,100,PG,1582528447,94,-6.18,143.65,61.95,1.97
Grindavik,75,IS,1582528449,66,63.84,-22.43,32.0,11.41
Guiyang,20,CN,1582528450,49,26.58,106.72,71.6,20.13
Payo,67,ID,1582528452,62,-3.75,103.64,81.14,4.23
Cidreira,19,BR,1582528407,75,-30.18,-50.21,72.12,24.27
Perni,20,GR,1582528454,86,41.0,24.64,48.0,4.85
Xinyu,33,CN,1582528456,54,27.8,114.93,76.55,13.8
Miandrivazo,92,MG,1582528457,74,-19.52,45.47,81.7,1.68
Ribeira Grande,90,PT,1582528393,84,38.52,-28.7,55.4,8.21
Pahrump,1,US,1582528460,65,36.21,-115.98,52.0,6.93
Weihe,0,CN,1582528461,31,33.0,105.32,59.77,4.23
Hong Kong,20,HK,1582528283,57,22.29,114.16,79.0,16.11
Faya,20,SA,1582528464,48,18.39,42.45,68.0,9.17
Carutapera,52,BR,1582528466,81,-1.2,-46.02,81.79,11.14
Sechura,90,PE,1582528467,80,-5.56,-80.82,75.6,6.13
Waingapu,100,ID,1582528423,76,-9.66,120.26,84.36,18.01
Isangel,40,VU,1582528470,66,-19.55,169.27,84.2,9.17
Los Llanos de Aridane,34,ES,1582528357,56,28.66,-17.92,70.0,1.12
Oddur,38,SO,1582528473,52,4.12,43.89,77.52,19.24
Mwene-Ditu,98,CD,1582528474,96,-7.0,23.45,67.82,4.29
Dickinson,90,US,1582528262,93,29.46,-95.05,66.2,4.7
Kavaratti,84,IN,1582528477,69,10.57,72.64,82.63,6.46
Maravilha,28,BR,1582528478,97,-26.76,-53.17,63.0,2.77
Shubarshi,98,KZ,1582528480,95,48.59,57.19,26.76,15.21
Gimbi,9,ET,1582528481,23,9.17,35.83,79.29,1.21
Paamiut,99,GL,1582528483,93,61.99,-49.67,13.62,21.14
Khatanga,100,RU,1582528484,89,71.97,102.5,20.1,18.43
Tuktoyaktuk,75,CA,1582528485,83,69.45,-133.04,-9.4,10.29
Karpogory,100,RU,1582528383,93,64.0,44.45,30.83,11.27
Udachny,26,RU,1582528488,85,66.42,112.4,14.0,6.71
Auki,0,SB,1582528367,71,-8.77,160.7,85.15,6.51
Versailles,90,FR,1582528491,93,48.8,2.13,52.0,17.22
Uyuni,78,BO,1582528493,68,-20.46,-66.83,53.89,2.71
Fortuna,20,US,1582528494,87,40.6,-124.16,46.0,3.36
Sidrolandia,40,BR,1582528495,94,-20.93,-54.96,73.4,8.05
Bengkulu,7,ID,1582528497,48,-3.8,102.27,92.75,3.11
Rawson,49,AR,1582528498,83,-43.3,-65.1,61.09,19.1
Mitzic,88,GA,1582528500,97,0.78,11.55,70.68,2.62
Canroma,12,PH,1582528501,46,10.36,122.88,88.63,9.84
Saldanha,0,ZA,1582528301,50,-33.01,17.94,78.8,3.36
Vetluga,94,RU,1582528504,89,57.86,45.78,32.11,8.99
Kungurtug,100,RU,1582528506,84,50.6,97.52,18.25,3.2
Omboue,99,GA,1582528507,95,-1.57,9.26,75.18,0.89
Kota Kinabalu,20,MY,1582528509,70,5.97,116.07,86.0,9.17
Makakilo City,1,US,1582528341,73,21.35,-158.09,75.2,4.7
Vestmanna,71,FO,1582528511,75,62.16,-7.17,37.4,9.17
Vestmannaeyjar,40,IS,1582528513,64,63.44,-20.27,35.6,20.8
Buraidah,40,SA,1582528514,69,26.33,43.98,73.4,13.87
Shimoda,20,JP,1582528383,50,34.67,138.95,55.4,9.17
Takoradze,32,GH,1582528437,94,4.88,-1.76,77.11,2.44
Saint-Pierre,25,RE,1582528518,66,-21.34,55.48,84.2,6.93
Bandarbeyla,98,SO,1582528520,71,9.49,50.81,78.06,15.9
Kropotkin,100,RU,1582528521,76,45.44,40.58,41.29,11.05
Taltal,15,CL,1582528412,91,-25.4,-70.48,59.65,2.84
Belfast,100,GB,1582528524,100,54.58,-5.93,37.0,5.82
Flin Flon,100,CA,1582528420,97,54.77,-101.86,20.77,4.43
Hervey Bay,90,AU,1582528527,88,-25.3,152.85,75.99,14.99
Dongzhen,17,CN,1582528529,71,22.38,110.94,80.01,11.48
Lavrentiya,0,RU,1582528530,75,65.58,-171.0,-9.27,3.36
Finschhafen,32,PG,1582528531,79,-6.6,147.87,83.43,12.46
Kununurra,84,AU,1582528533,19,-15.77,128.73,104.0,9.17
Hofn,100,IS,1582528414,80,64.25,-15.21,38.98,28.99
Okhotsk,69,RU,1582528536,79,59.38,143.3,-2.16,5.3
Umba,100,RU,1582528538,89,66.69,34.34,25.0,10.09
Kralendijk,60,BQ,1582528539,78,12.15,-68.27,77.0,5.82
Keskin,17,TR,1582528451,76,39.67,33.61,39.99,1.01
Richards Bay,98,ZA,1582528411,66,-28.78,32.04,73.18,11.95
Loandjili,20,CG,1582528245,94,-4.76,11.86,78.8,2.24
Khandyga,100,RU,1582528545,92,62.67,135.6,0.39,2.82
Katsuura,20,JP,1582528380,47,35.13,140.3,60.01,11.41
Ahipara,0,NZ,1582528548,71,-35.17,173.17,72.0,19.01
Moose Factory,90,CA,1582528550,92,51.26,-80.61,21.2,8.05
Nouakchott,100,MR,1582528308,60,18.09,-15.98,73.4,13.87
Redcliffe,75,AU,1582528553,83,-27.23,153.1,80.6,3.36
Tabora,75,TZ,1582528555,88,-5.02,32.8,73.4,3.62
Zyryanka,97,RU,1582528556,94,65.75,150.85,-8.37,2.26
Tanabe,1,JP,1582528558,44,33.73,135.37,57.2,11.41
Outlook,73,CA,1582528559,73,51.5,-107.05,21.99,5.99
Shiyan,75,CN,1582528560,42,32.65,110.78,66.09,4.05
Mittagong,0,AU,1582528562,54,-34.45,150.45,82.0,13.87
Bambanglipuro,33,ID,1582528563,65,-7.95,110.28,87.37,5.75
Kluczbork,93,PL,1582528565,79,50.97,18.22,38.05,19.08
Pemangkat,35,ID,1582528566,75,1.17,108.97,84.88,13.38
Vostok,100,RU,1582528567,89,46.49,135.88,22.15,4.79
Owando,100,CG,1582528569,91,-0.48,15.9,75.11,2.71
Carnarvon,0,AU,1582528570,54,-24.87,113.63,84.2,13.87
Saint-Augustin,66,CA,1582528572,82,51.23,-58.65,9.59,6.04
Yar-Sale,100,RU,1582528438,86,66.83,70.83,27.91,26.55
Coquimbo,90,CL,1582528575,82,-29.95,-71.34,60.8,3.36
Nishihara,20,JP,1582528577,60,26.18,127.76,73.0,10.29
Caravelas,34,BR,1582528578,83,-17.71,-39.25,79.77,9.51
Winnemucca,90,US,1582528580,35,40.97,-117.74,39.2,5.82
Smithers,100,CA,1582528581,79,54.78,-127.17,28.4,3.36
Bulgan,100,MN,1582528583,82,48.81,103.53,14.79,6.24
Pisco,90,PE,1582528584,83,-13.7,-76.22,75.2,6.93
Kerema,100,PG,1582528586,54,-7.96,145.78,89.08,5.95
Rafai,9,CF,1582528587,20,4.95,23.92,73.38,3.2
Vologda,100,RU,1582528589,96,59.22,39.89,32.5,10.38
Gamba,98,GA,1582528590,91,-2.65,10.0,77.29,4.7
Placido de Castro,83,BR,1582528592,83,-10.34,-67.19,68.63,2.08
Iaciara,68,BR,1582528593,88,-14.1,-46.63,71.31,2.42
San Jose,20,US,1582528558,87,37.34,-121.89,52.0,1.41
Varadero,20,CU,1582528361,82,23.15,-81.25,64.4,5.82
Eyl,100,SO,1582528597,71,7.98,49.82,78.82,21.18
Golyshmanovo,68,RU,1582528599,93,56.4,68.37,15.66,9.64
Trebinje,28,BA,1582528477,66,42.71,18.34,50.0,4.7
Sola,75,VU,1582528601,84,-13.88,167.55,86.0,5.82
Praia,75,CV,1582528603,77,14.92,-23.51,68.0,11.41
Porto Walter,62,BR,1582528604,92,-8.27,-72.74,70.11,0.49
Amazar,14,RU,1582528393,70,53.86,120.88,22.26,4.07
Parana,0,AR,1582528608,80,-31.73,-60.52,68.0,1.99
Saint Anthony,1,US,1582528387,79,45.02,-93.22,28.99,4.7
Saint George,1,US,1582528318,70,37.1,-113.58,46.4,3.36
Terrace Bay,93,CA,1582528612,93,48.78,-87.1,30.18,7.92
Bilibino,21,RU,1582528613,93,68.05,166.44,-28.1,2.3
Ponta Delgada,20,PT,1582528615,87,37.73,-25.67,51.8,4.7
Lynn Haven,40,US,1582528387,82,30.25,-85.65,57.0,4.7
Moctezuma,89,MX,1582528618,58,29.8,-109.67,50.72,5.77
Nipawin,1,CA,1582528619,78,53.37,-104.0,14.0,4.7
Laas,40,IT,1582528414,86,46.62,10.7,43.0,2.24
Ziro,40,IN,1582528622,54,27.63,93.83,78.8,5.82
Golaghat,33,IN,1582528623,49,26.52,93.97,77.92,5.75
Springhill,90,US,1582528625,93,33.01,-93.47,59.0,4.7
Port Lincoln,0,AU,1582528626,55,-34.73,135.87,75.34,14.92
Pangody,100,RU,1582528628,89,65.85,74.49,26.35,24.11
Casper,1,US,1582528630,58,42.87,-106.31,30.2,14.99
Misratah,35,LY,1582528631,77,32.38,15.09,58.82,16.69
Suntar,100,RU,1582528633,88,62.14,117.63,21.36,10.07
Sawakin,100,SD,1582528634,89,19.11,37.33,71.83,18.05
Tabuk,35,PH,1582528635,58,17.42,121.44,83.68,4.61
Manggar,0,ID,1582528637,79,-2.88,108.27,82.98,14.58
Sale,0,MA,1582528546,87,34.04,-6.82,57.0,8.05
Polonnaruwa,94,LK,1582528640,65,7.93,81.0,85.35,9.86
Neuquen,46,AR,1582528641,37,-38.95,-68.06,68.0,17.22
Barra do Garcas,100,BR,1582528643,96,-15.89,-52.26,71.65,1.32
Maniwaki,44,CA,1582528644,87,46.38,-75.97,28.02,8.43
Mirny,75,RU,1582528645,79,62.54,113.96,23.0,13.42
Madison,90,US,1582528647,75,34.73,-86.57,48.0,3.36
Dudinka,75,RU,1582528372,92,69.41,86.18,17.6,29.08
Carupano,31,VE,1582528650,98,10.67,-63.26,69.55,2.13
High Level,1,CA,1582528651,84,58.52,-117.14,6.8,6.93
Oranjestad,20,AW,1582528614,69,12.52,-70.03,78.8,8.05
Brodokalmak,75,RU,1582528654,92,55.57,62.08,23.0,17.9
Tuatapere,26,NZ,1582528376,63,-46.13,167.68,64.0,5.99
Huarmey,98,PE,1582528657,67,-10.07,-78.15,74.53,0.09
Chimoio,75,MZ,1582528658,100,-19.12,33.48,66.2,12.24
Loreto,11,MX,1582528660,39,22.27,-101.97,60.03,10.45
Aleksandrovskoye,90,RU,1582528661,93,44.71,43.0,39.2,20.13
Amboasary,75,MG,1582528379,78,-25.03,46.38,82.4,2.24
Chapais,90,CA,1582528393,79,49.78,-74.85,26.6,10.29
Bukachacha,0,RU,1582528666,63,52.98,116.92,19.08,6.93
Sinnamary,99,GF,1582528667,84,5.38,-52.95,78.26,17.18
Cabo San Lucas,20,MX,1582528532,63,22.89,-109.91,64.99,9.17
San Quintin,20,MX,1582528671,88,30.48,-115.95,56.64,11.18
Rapid Valley,90,US,1582528673,74,44.06,-103.15,35.01,12.75
Fereydunkenar,90,IR,1582528675,93,36.69,52.52,50.0,4.7
Springdale,90,US,1582528676,100,36.19,-94.13,48.99,8.05
Albert Lea,1,US,1582528677,92,43.65,-93.37,32.0,3.36
Laguna,1,US,1582528679,87,38.42,-121.42,52.0,1.9
Ajaigarh,40,IN,1582528681,64,24.9,80.27,75.2,3.36
Touros,40,BR,1582528682,94,-5.2,-35.46,77.0,4.7
Emerald,40,AU,1582528683,62,-23.53,148.17,87.8,9.17
Townsville,75,AU,1582528685,88,-19.25,146.8,82.4,10.29
Amga,100,RU,1582528686,90,60.9,131.96,5.43,4.41
Bardiyah,9,LY,1582528447,70,31.76,25.09,56.08,18.3
